 Lat, Lng,Uuid,Carrier_Code,Stop_Id, Stop_Name,Transit_Modes,Accessible,On_street,Street_direction,Cross_street,Relation_to_Cross_Street,Address,City,State,Zip,Shelter_Present,Seating_Present,Kiosk_Present,Public_Notes,Public_Imagry,Service_Location_Id,Prediction_Count,Dist,Service_Location_Name,Service_Location_UUID
36.794038,-119.778784,,,1767,SW ASHLAN - AUGUSTA,BUS,,,,,,,,CA,,FALSE,TRUE,FALSE,,,,,,,
36.794044,-119.771438,,,1768,SE ASHLAN - FIRST,BUS,,,,,,,,CA,,TRUE,TRUE,FALSE,,,,,,,
36.794048,-119.76754,,,1769,SE ASHLAN - BOND,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.794063,-119.763815,,,1770,SW ASHLAN - MILLBROOK,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.793993,-119.759004,,,1771,SW ASHLAN - NINTH,BUS,,,,,,,,CA,,TRUE,TRUE,FALSE,,,,,,,
36.794212,-119.749412,,,1773,SE ASHLAN - BARTON,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.794142,-119.73582,,,1774,SE ASHLAN - CHESTNUT,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.794117,-119.731128,,,1775,SE ASHLAN - WINERY,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.794035,-119.726965,,,1776,SE ASHLAN - WILLOW,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.793991,-119.722402,,,1777,SE ASHLAN - HELM,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.793904,-119.717084,,,1778,SE ASHLAN - PEACH,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.793882,-119.713939,,,1779,SW ASHLAN - VILLA,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.794223,-119.710307,,,1780,SW ASHLAN - MINNEWAWA,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.794015,-119.70629,,,1781,SE ASHLAN - BUCKINGHAM,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.789286,-119.700485,,,1784,SW CLOVIS - SAGINAW,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.787105,-119.700502,,,1785,SW CLOVIS - DAKOTA,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.779348,-119.699651,,,1786,SW SHIELDS - CLOVIS,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.779333,-119.695422,,,1787,SW SHIELDS - ARGYLE,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.77933,-119.69029,,,1788,SE SHIELDS - CLAREMONT,BUS,,,,,,,,CA,,FALSE,TRUE,FALSE,,,,,,,
36.77932,-119.68726,,,1789,SW SHIELDS - STANFORD,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.779507,-119.691482,,,1794,NE SHIELDS - SUNNYSIDE,BUS,,,,,,,,CA,,FALSE,TRUE,FALSE,,,,,,,
36.779522,-119.698914,,,1795,NE SHIELDS - SABER,BUS,,,,,,,,CA,,FALSE,TRUE,FALSE,,,,,,,
36.789127,-119.700203,,,1797,SE CLOVIS - SAGINAW,BUS,,,,,,,,CA,,TRUE,FALSE,FALSE,,,,,,,
36.793266,-119.703029,,,1799,NW ASHLAN - RALPH,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.794231,-119.706479,,,1800,NW ASHLAN - BUCKINGHAM,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
